'id_car_equipment','id_car_trim','name','year','date_create','date_update','id_car_type'
'1','2394','Confort','2012','1463945173','1534978146','1'
'2','2394','Dynamique','2011','1463945174','1534978147','1'
'3','2394','Dynamique','2012','1463945176','1534978147','1'
'4','2394','Confort',NULL,'1463945176','1534978148','1'
'5','2392','Exclusive','2012','1463945176','1534978152','1'
'6','2392','Confort','2012','1463945177','1534978153','1'
'7','2392','Confort','2011','1463945178','1534978153','1'
'8','2392','Exclusive','2011','1463945179','1534978154','1'
'9','2393','Exclusive','2011','1463945179','1534978149','1'
'10','2393','Confort','2011','1463945180','1534978150','1'
'11','2393','Exclusive','2012','1463945181','1534978150','1'
'12','2393','Confort','2012','1463945181','1534978151','1'
'13','2399','Confort','2011','1463945181','1534978155','1'
'14','2399','Confort','2012','1463945183','1534978155','1'
'15','2398','Confort','2011','1463945183','1534978156','1'
'16','2398','Exclusive','2011','1463945183','1534978157','1'
'17','2398','Confort','2012','1463945184','1534978158','1'
'18','2398','Exclusive','2012','1463945185','1534978158','1'
'19','2401','Dynamique','2014','1463945192','1534978159','1'
'20','2401','Dynamique','2015','1463945193','1534978163','1'
'21','2401','Tendance','2014','1463945194','1534978164','1'
'22','2401','Dynamique','2016','1463945195','1534978160','1'
'23','2401','Tendance','2015','1463945196','1534978162','1'
'24','2401','Tendance','2016','1463945197','1534978162','1'
'25','2401','Tendance','2013','1463945197','1534978161','1'
'26','2401','Dynamique','2013','1463945198','1534978164','1'
'27','2402','Tendance','2014','1463945198','1534978179','1'
'28','2402','Tendance','2015','1463945199','1534978177','1'
'29','2402','Exclusive','2014','1463945200','1534978178','1'
'30','2402','Exclusive','2015','1463945201','1534978176','1'
'31','2402','Tendance','2016','1463945201','1534978175','1'
'32','2402','Exclusive','2016','1463945202','1534978175','1'
'33','2402','Exclusive','2013','1463945203','1534978180','1'
'34','2402','Tendance','2013','1463945204','1534978179','1'
'35','2403','Tendance','2014','1463945204','1534978184','1'
'36','2403','Tendance','2015','1463945205','1534978185','1'
'37','2403','Exclusive','2014','1463945206','1534978182','1'
'38','2403','Exclusive','2015','1463945207','1534978186','1'
'39','2403','Tendance','2016','1463945207','1534978187','1'
'40','2403','Exclusive','2016','1463945208','1534978187','1'
'41','2403','Tendance','2013','1463945209','1534978183','1'
'42','2403','Exclusive','2013','1463945210','1534978183','1'
'43','2400','Dynamique','2014','1463945210','1534978165','1'
'44','2400','Dynamique','2015','1463945211','1534978167','1'
'45','2400','Tendance','2014','1463945212','1534978168','1'
'46','2400','Tendance','2015','1463945213','1534978166','1'
'47','2400','Exclusive','2014','1463945214','1534978168','1'
'48','2400','Exclusive','2015','1463945215','1534978173','1'
'49','2400','Dynamique','2016','1463945216','1534978171','1'
'50','2400','Tendance','2016','1463945217','1534978170','1'
'51','2400','Exclusive','2016','1463945218','1534978169','1'
'52','2400','Exclusive','2013','1463945219','1534978174','1'
'53','2400','Tendance','2013','1463945219','1534978172','1'
'54','2400','Dynamique','2013','1463945220','1534978171','1'
'55','2434','Dynamique','2014','1463945235','1534978195','1'
'56','2434','Dynamique','2015','1463945235','1534978195','1'
'57','2434','Dynamique','2012','1463945236','1534978196','1'
'58','2434','Dynamique','2013','1463945237','1534978197','1'
'59','2441','Dynamique','2015','1463945241','1534978200','1'
'60','2441','Dynamique','2014','1463945242','1534978201','1'
'61','2441','Dynamique','2013','1463945243','1534978202','1'
'62','2441','Dynamique','2012','1463945243','1534978202','1'
'63','2439','Tendance','2014','1463945246','1534978213','1'
'64','2439','Dynamique','2014','1463945246','1534978214','1'
'65','2439','Tendance','2012','1463945247','1534978215','1'
'66','2439','Tendance','2015','1463945248','1534978215','1'
'67','2439','Dynamique','2012','1463945248','1534978216','1'
'68','2439','Exclusive','2013','1463945249','1534978217','1'
'69','2439','Tendance','2013','1463945249','1534978218','1'
'70','2439','Dynamique','2013','1463945250','1534978219','1'
'71','2439','Exclusive','2015','1463945251','1534978220','1'
'72','2439','Exclusive','2012','1463945251','1534978220','1'
'73','2439','Dynamique','2015','1463945252','1534978221','1'
'74','2439','Exclusive','2014','1463945253','1534978222','1'
'75','2442','Tendance','2013','1463945253','1534978203','1'
'76','2442','Tendance','2015','1463945254','1534978204','1'
'77','2442','Tendance','2014','1463945254','1534978205','1'
'78','2442','Tendance','2012','1463945255','1534978206','1'
'79','2440','Exclusive','2015','1463945255','1534978206','1'
'80','2440','Exclusive','2013','1463945256','1534978207','1'
'81','2440','Tendance','2013','1463945256','1534978208','1'
'82','2440','Exclusive','2012','1463945257','1534978209','1'
'83','2440','Tendance','2012','1463945259','1534978210','1'
'84','2440','Tendance','2015','1463945259','1534978210','1'
